"filename", "language", "JavaScript", "JSON", "Solidity", "comment", "blank", "total"
"/Users/morethan/Documents/git/ipfs/second/contracts/CIDStorageContract.sol", "Solidity", 0, 0, 19, 7, 9, 35
"/Users/morethan/Documents/git/ipfs/second/hardhat.config.js", "JavaScript", 2, 0, 0, 1, 2, 5
"/Users/morethan/Documents/git/ipfs/second/package-lock.json", "JSON", 0, 13197, 0, 0, 1, 13198
"/Users/morethan/Documents/git/ipfs/second/package.json", "JSON", 0, 13, 0, 0, 1, 14
"/Users/morethan/Documents/git/ipfs/second/scripts/deploy.js", "JavaScript", 0, 0, 0, 1, 2, 3
"/Users/morethan/Documents/git/ipfs/second/test/test.js", "JavaScript", 20, 0, 0, 10, 13, 43
"/Users/morethan/Documents/git/ipfs/second/utils/encrypt.js", "JavaScript", 54, 0, 0, 20, 21, 95
"/Users/morethan/Documents/git/ipfs/second/utils/test.js", "JavaScript", 2, 0, 0, 1, 3, 6
"/Users/morethan/Documents/git/ipfs/second/utils/upload.js", "JavaScript", 27, 0, 0, 6, 13, 46
"/Users/morethan/Documents/git/ipfs/second/utils/web3storageAPI.js", "JavaScript", 27, 0, 0, 6, 6, 39
"Total", "-", 132, 13210, 19, 52, 71, 13484